table_code;table_name;series_code;series_name;unit_name;interval_id;chart_no;rolling_average_periods;rolling_average_alignment;year_on_year;xmin;xmax;opomba;novo
1957406S;Realni indeksi vrednosti opravljenih gradbenih del v gradbeništvu (mesec / povprečje leta 2015) (SKD 2008), originalni podatki, desezonirani podatki in podatki z izločenimi vplivi koledarja, Slovenija, mesečno;SURS--1957406S--O--CC--M;Originalni podatki -- Gradbeništvo - SKUPAJ;indeks;M;3;3;r;y;;;;
1957406S;Realni indeksi vrednosti opravljenih gradbenih del v gradbeništvu (mesec / povprečje leta 2015) (SKD 2008), originalni podatki, desezonirani podatki in podatki z izločenimi vplivi koledarja, Slovenija, mesečno;SURS--1957406S--O--1--M;Originalni podatki -- Gradnja stavb;indeks;M;4;3;r;y;;;;
1957406S;Realni indeksi vrednosti opravljenih gradbenih del v gradbeništvu (mesec / povprečje leta 2015) (SKD 2008), originalni podatki, desezonirani podatki in podatki z izločenimi vplivi koledarja, Slovenija, mesečno;SURS--1957406S--O--11--M;Originalni podatki -- Stanovanjske stavbe;indeks;M;4;3;r;y;;;;
1957406S;Realni indeksi vrednosti opravljenih gradbenih del v gradbeništvu (mesec / povprečje leta 2015) (SKD 2008), originalni podatki, desezonirani podatki in podatki z izločenimi vplivi koledarja, Slovenija, mesečno;SURS--1957406S--O--12--M;Originalni podatki -- Nestanovanjske stavbe;indeks;M;4;3;r;y;;;;
1957406S;Realni indeksi vrednosti opravljenih gradbenih del v gradbeništvu (mesec / povprečje leta 2015) (SKD 2008), originalni podatki, desezonirani podatki in podatki z izločenimi vplivi koledarja, Slovenija, mesečno;SURS--1957406S--O--CC--M;Originalni podatki -- Gradbeništvo - SKUPAJ;indeks;M;5;3;r;y;1.01.2013;;;
1912002S;Poslovne tendence v gradbeništvu (SKD 2008), originalni in desezonirani podatki, Slovenija, mesečno;SURS--1912002S--1--3--M;Originalni podatki -- Skupna naročila;ravnotežje v odstotnih točkah;M;5;3;r;;1.01.2013;;;
1970713S;Stavbe, za katere so bila izdana gradbena dovoljenja, Slovenija, mesečno;SURS--1970713S--1--11--2--M;Fizična oseba -- 11 Stanovanjske stavbe -- Površina stavb [m2];m2;M;6;6;r;;1.01.2013;;;
1970713S;Stavbe, za katere so bila izdana gradbena dovoljenja, Slovenija, mesečno;SURS--1970713S--1--12--2--M;Fizična oseba -- 12 Nestanovanjske stavbe -- Površina stavb [m2];m2;M;6;6;r;;1.01.2013;;;
1970713S;Stavbe, za katere so bila izdana gradbena dovoljenja, Slovenija, mesečno;SURS--1970713S--2--11--2--M;Pravna oseba -- 11 Stanovanjske stavbe -- Površina stavb [m2];m2;M;6;6;r;;1.01.2013;;;
1970713S;Stavbe, za katere so bila izdana gradbena dovoljenja, Slovenija, mesečno;SURS--1970713S--2--12--2--M;Pravna oseba -- 12 Nestanovanjske stavbe -- Površina stavb [m2];m2;M;6;6;r;;1.01.2013;;;
1970713S;Stavbe, za katere so bila izdana gradbena dovoljenja, Slovenija, mesečno;SURS--1970713S--1--1--4--M;Fizična oseba -- 1 Stavbe - SKUPAJ -- Število stanovanj v stavbah;;M;7;12;r;;;;;
1970713S;Stavbe, za katere so bila izdana gradbena dovoljenja, Slovenija, mesečno;SURS--1970713S--2--1--4--M;Pravna oseba -- 1 Stavbe - SKUPAJ -- Število stanovanj v stavbah;;M;7;12;r;;;;;
0300220S;Dodana vrednost po dejavnostih in BDP (SKD 2008), Slovenija, četrtletno;SURS--0300220S--F--G4--N--Q;F Gradbeništvo -- Stopnja rasti obsega glede na enako četrtletje predhodnega leta (%) -- Originalni podatki;%;Q;8;;;;2013-01-01;;;
0300230S;Izdatkovna struktura BDP, Slovenija, četrtletno;SURS--0300230S--P51G_N11KG--G4--N--Q;......Zgradbe in objekti -- Stopnja rasti obsega glede na enako četrtletje predhodnega leta (%) -- Originalni podatki;%;Q;8;;;;1.01.2013;;;
1957406S;Realni indeksi vrednosti opravljenih gradbenih del v gradbeništvu (mesec / povprečje leta 2015) (SKD 2008), originalni podatki, desezonirani podatki in podatki z izločenimi vplivi koledarja, Slovenija, mesečno;SURS--1957406S--O--CC--M;Originalni podatki -- Gradbeništvo - SKUPAJ;indeks;M;8;3;r;y;1.01.2013;;bi se dalo to mesečno serijo pretvoriti v četrtletno?;
0700921S;Delovno aktivno prebivalstvo po dejavnostih (SKD 2008), Slovenija, mesečno;SURS--0700921S--F--1--M;F GRADBENIŠTVO -- 1 Delovno aktivno prebivalstvo - SKUPAJ;število;M;9;;;y;;;;
1912002S;Poslovne tendence v gradbeništvu (SKD 2008), originalni in desezonirani podatki, Slovenija, mesečno;SURS--1912002S--2--6--M;Desezonirani podatki -- Pričakovano zaposlovanje;ravnotežje v odstotnih točkah;M;9;3;r;;;;;
1957406S;Realni indeksi vrednosti opravljenih gradbenih del v gradbeništvu (mesec / povprečje leta 2015) (SKD 2008), originalni podatki, desezonirani podatki in podatki z izločenimi vplivi koledarja, Slovenija, mesečno;SURS--1957406S--O--CC--M;Originalni podatki -- Gradbeništvo - SKUPAJ;indeks;M;10;;;y;1.01.2020;;;
1701101S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po 2-mestni šifri dejavnosti (SKD 2008), Slovenija, mesečno;SURS--1701101S--08--M;08 Pridobivanje rudnin in kamnin;indeks;M;10;;;y;1.01.2020;;;
1701101S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po 2-mestni šifri dejavnosti (SKD 2008), Slovenija, mesečno;SURS--1701101S--23--M;23 Proizvodnja nekovinskih mineralnih izdelkov;indeks;M;10;;;y;1.01.2020;;;
