table_code;table_name;series_code;series_name;unit_name;interval_id;chart_no;chart_title;sub_chart;sub_chart_title;legend_label;rolling_average_periods;rolling_average_alignment;year_on_year;xmin;xmax;notes;;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--L--GY--B1G--A;L Poslovanje z nepremičninami (68) -- Letna sprememba obsega (%) -- Dodana vrednost;%;A;9;Rast dodane vrednosti in posameznih dejavnosti;2;Tržne storitve;L Poslovanje z nepremičninami;;;;;;linija;L Poslovanje z nepremičninami ;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--M--GY--B1G--A;M Strokovne, znanstvene in tehnične dejavnosti -- Letna sprememba obsega (%) -- Dodana vrednost;%;A;9;Rast dodane vrednosti in posameznih dejavnosti;2;Tržne storitve;M Strokovne, znanstvene in tehnične dejavnosti;;;;;;linija;M Strokovne, znanstvene in tehnične dejavnosti;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--N--GY--B1G--A;N Druge raznovrstne poslovne dejavnosti -- Letna sprememba obsega (%) -- Dodana vrednost;%;A;9;Rast dodane vrednosti in posameznih dejavnosti;2;Tržne storitve;N Druge raznovrstne poslovne dejavnosti;;;;;;linija;N Druge raznovrstne poslovne dejavnosti;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--O--GY--B1G--A;O Dejavnosti uprave in obrambe, obvezna socialna varnost (84) -- Letna sprememba obsega (%) -- Dodana vrednost;%;A;9;Rast dodane vrednosti in posameznih dejavnosti;3;Javne storitve;O Dejavnosti uprave, obvezna socialna varnost;;;;;;linija;O Dejavnosti uprave in obrambe, obvezna socialna varnost ;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--P--GY--B1G--A;P Izobraževanje (85) -- Letna sprememba obsega (%) -- Dodana vrednost;%;A;9;Rast dodane vrednosti in posameznih dejavnosti;3;Javne storitve;P Izobraževanje;;;;;;linija;P Izobraževanje ;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--Q--GY--B1G--A;Q Zdravstvo in socialno varstvo -- Letna sprememba obsega (%) -- Dodana vrednost;%;A;9;Rast dodane vrednosti in posameznih dejavnosti;3;Javne storitve;Q Zdravstvo in socialno varstvo;;;;;;linija;Q Zdravstvo in socialno varstvo;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--A--GY--B1G--A;A Kmetijstvo in lov, gozdarstvo, ribištvo -- Letna sprememba obsega (%) -- Dodana vrednost;%;A;9;Rast dodane vrednosti in posameznih dejavnosti;4;Ostalo;A Kmetijstvo;;;;;;linija;A Kmetijstvo in lov, gozdarstvo, ribištvo;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--F--GY--B1G--A;F Gradbeništvo (41-43) -- Letna sprememba obsega (%) -- Dodana vrednost;%;A;9;Rast dodane vrednosti in posameznih dejavnosti;4;Ostalo;F Gradbeništvo;;;;;;linija;F Gradbeništvo ;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--U--GY--B1G--A;U Dejavnost eksteritorialnih organizacij in teles (99) -- Letna sprememba obsega (%) -- Dodana vrednost;%;A;9;Rast dodane vrednosti in posameznih dejavnosti;4;Ostalo;U Dejavnost eksteritorialnih organizacij in teles ;;;;;;linija;U Dejavnost eksteritorialnih organizacij in teles ;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--R--GY--B1G--A;R Kulturne, razvedrilne in rekreacijske dejavnosti -- Letna sprememba obsega (%) -- Dodana vrednost;%;A;9;Rast dodane vrednosti in posameznih dejavnosti;5;RST tržne storitve;R Kulturne, razvedrilne in rekreacijske dejavnosti;;;;;;linija;R Kulturne, razvedrilne in rekreacijske dejavnosti;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--S--GY--B1G--A;S Druge dejavnosti -- Letna sprememba obsega (%) -- Dodana vrednost;%;A;9;Rast dodane vrednosti in posameznih dejavnosti;5;RST tržne storitve;S Druge dejavnosti;;;;;;linija;S Druge dejavnosti;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--T--GY--B1G--A;T Dejavnost gospodinjstev z zaposlenim osebjem (97-98) -- Letna sprememba obsega (%) -- Dodana vrednost;%;A;9;Rast dodane vrednosti in posameznih dejavnosti;5;RST tržne storitve;T Dejavnost gospodinjstev z zaposlenim osebjem ;;;;;;linija;T Dejavnost gospodinjstev z zaposlenim osebjem ;;
